Brand,Model,Color,Retail_Price,Release_Date,Price_Premium,Avg_Sale_Price,Date_of_Sale,Time_of_Sale,Sneaker_Size,Sale_Price
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-11 00:00:00,3:25 AM EST,11,695.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-10 00:00:00,10:30 PM EST,10,769.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-10 00:00:00,8:26 AM EST,8.5,735.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-10 00:00:00,5:18 AM EST,14,690.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,8:05 PM EST,10,750.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,6:17 PM EST,9.5,758.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,4:32 PM EST,7,770.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,3:38 PM EST,6,840.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,2:23 PM EST,6.5,879.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,2:11 PM EST,11,735.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,1:52 PM EST,10.5,775.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,1:04 PM EST,9.5,759.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,11:10 AM EST,9,720.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,10:49 AM EST,9.5,740.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-09 00:00:00,9:21 AM EST,11.5,740.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-08 00:00:00,11:47 PM EST,10,750.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-08 00:00:00,8:38 PM EST,12,800.0
Adidas,adidas Yeezy Boost 350 V2 Core Black White,CORE BLACK/CORE WHITE/CORE BLACK,220.0,12/17/16,215.90%,$709 ,2018-02-08 00:00:00,8:38 PM EST,12,690.0
