Brand,Model,Color,Retail_Price,Release_Date,Price_Premium,Avg_Sale_Price,Date_of_Sale,Time_of_Sale,Sneaker_Size,Sale_Price
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-11 00:00:00,8:59 PM EST,11.0,215.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-11 00:00:00,8:32 PM EST,10.5,245.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-11 00:00:00,3:44 PM EST,10.5,225.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-11 00:00:00,2:14 PM EST,12.0,230.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-10 00:00:00,4:39 PM EST,12.0,300.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-10 00:00:00,4:35 PM EST,10.5,210.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-10 00:00:00,2:24 PM EST,9.0,248.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-09 00:00:00,6:05 PM EST,10.0,230.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-09 00:00:00,5:26 PM EST,10.0,230.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-09 00:00:00,5:02 PM EST,9.0,240.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-09 00:00:00,5:31 AM EST,8.5,260.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-09 00:00:00,1:53 AM EST,11.5,260.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-08 00:00:00,10:06 PM EST,8.5,255.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-08 00:00:00,8:59 PM EST,13.0,275.0
Air Jordan,Jordan 1 Retro UNC,WHITE/DARK POWDER BLUE,160.0,10/10/15,34.40%,$219 ,2018-02-08 00:00:00,7:48 PM EST,12.0,228.0
